video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=84ngZRKXKM4&pp=ygUGbGF5b2Zm,/@TiffInTech,Tiff In Tech,Tech Layoffs 2024: Is AI to Blame?,26K,5 days,"In this video, I dive into the complex world of tech layoffs and investigate whether Artificial Intelligence is a major factor. I'll share ...",2024-01-29 07:49:55.072610
/watch?v=ajCVti77lyI&pp=ygUGbGF5b2Zm,/@thehill,The Hill,"Trump SWEEPS NH, U.S. Strikes HIT Iraq and Yemen, Tech Layoffs SLAM eBay, TikTok, Google And Amazon",12K,4 days,"Donald Trump sails to another victory in the GOP primary presidential contest, besting his sole opponent, Nikki Haley. The United ...",2024-01-29 07:49:55.075581
/watch?v=JpHrhGGzAMY&pp=ygUGbGF5b2Zm,/@TaliesinEvitel,Taliesin & Evitel,"Huge Blizzard Layoffs, 10.2.6 News May Have to Wait... A WoW Podcast, Obviously Episode 7",24K,Streamed 3 days,This episode was supposed to be all about the upcoming World of Warcraft Dragonflight patch 10.2.6 and fun speculation about ...,2024-01-29 07:49:55.078782
/watch?v=ZSd8zSBSWz8&pp=ygUGbGF5b2Zm,/@KTLA5,KTLA 5,Los Angeles Times announces mass layoffs,18K,5 days,KTLA 5 News - Keeping Southern Californians informed since 1947.,2024-01-29 07:49:55.081463
/watch?v=JPWasGuv0nE&pp=ygUGbGF5b2Zm,/@KTVUFox2,KTVU FOX 2 San Francisco,"More tech job layoffs announced at Google, Amazon, and Snap",195K,2 months,"Some major tech companies announced another round of job cuts on Thursday. Google, Amazon and Snap are among the ...",2024-01-29 07:49:55.083631
/watch?v=SYeWTZSY-s0&pp=ygUGbGF5b2Zm,/@WION,WION,"Discord lays off 17% of its staff, blames over hiring for mass layoff | WION",1.1K,2 weeks,Just 12 days into 2024 and the layoff season is back to haunt the tech sector. The latest company to sack its employees is Discord ...,2024-01-29 07:49:55.086090
/watch?v=ANLV6RXO0kU&pp=ygUGbGF5b2Zm,/@CNBC,CNBC,"Why Amazon, Google and Microsoft Laid Off Thousands Of Tech Workers",456K,11 months,"Tech giants like Amazon, Google and Microsoft have laid off tens of thousands of workers in the past few months. After going on a ...",2024-01-29 07:49:55.089574
/watch?v=RfnVB6fZ2NY&pp=ygUGbGF5b2Zm,/@CNBCtelevision,CNBC Television,Layoffs ramp up ahead of holidays: Here's what you need to know,10K,1 month,"Jason Greer, Greer Consulting founder and president, joins 'Squawk Box' to discuss the current job market, what the recent wave ...",2024-01-29 07:49:55.094228
/shorts/GMr4OxtezAk,/@YahooFinance,Yahoo Finance,Tech industry layoffs continue despite increase in hiring in January 2023 jobs report,16K,11 months,"Yahoo Finance Reporter Alexandra Semenova discusses the apparent disconnect between the wave of recent tech layoffs, and ...",2024-01-29 07:49:55.097424
/shorts/gTR-5EFcpio,/@YourRichBFF,Your Rich BFF,Do not make this money mistake if you get laid off!! #layoff #money #401k #ira #rothira #job #work,29K,1 year,Daly Mail Felt like Wolf of Wall Street': Ex-Tesla worker recounts people crying in the lobby amid layoffs 1 week ago ...,2024-01-29 07:49:55.101121
/watch?v=uoYwE_gF3Wg&pp=ygUGbGF5b2Zm,/@News8WROC,News 8 WROC,Xerox announces job cuts,1.1K,3 weeks,Xerox reveals a new operating model and organizational structure for the future. This plan targets a 15 percent workforce ...,2024-01-29 07:49:55.104375
/watch?v=IuinAm85gMA&pp=ygUGbGF5b2Zm,/@QueenCityNews,Queen City News,Additional layoffs confirmed at Mooresville-based Lowe's,681,2 days,Mooresville-based home improvement retailer Lowe's confirmed it has laid off more employees following late 2023 layoffs. Thanks ...,2024-01-29 07:49:55.107395
/watch?v=t7RbVFh8u5g&pp=ygUGbGF5b2Zm,/@SweetPhil,Sweet Phil,Mass Layoffs at Blizzard just days after Diablo 4's Season 3 Letdown,13K,3 days,Article from The Verge: https://www.theverge.com/2024/1/25/24049050/microsoft-activision-blizzard-layoffs TWITTER   ...,2024-01-29 07:49:55.110401
/watch?v=-qXCAxIuGAs&pp=ygUGbGF5b2Zm,/@CareerTalk,Career Talk,"Layoffs 2024 Started - Google Amazon, Discord, Duolingo, Paytm - Be Prepared | Career Talk Anand",71K,2 weeks,"Be market ready to face any layoff situation in 2024. Layoffs 2024 Started - Google Amazon, Discord, Duolingo, PayTM - Be ...",2024-01-29 07:49:55.114423
